rowid,ingredient
1201,"1/2 tsp salt, or to taste"
1202,1 lb. red lentils (about 2 cups)
1203,1 15oz. can light coconut milk
1204,1 1/2 cups water
1205,1.5 cups uncooked jasmine rice
1206,1 15oz. can coconut milk
1207,1 lb. frozen peas and carrots
1208,1 15oz. can pineapple chunks
1209,1/4 cup sriracha sauce
1210,1 1/2 cups long-grain jasmine rice
1211,2 Tbsp curry powder*
1212,"1/2 lb. carrots, 3-4 medium"
1213,1 lb. frozen broccoli and cauliflower pieces
1214,1 14oz. can light coconut milk**
1215,"1 handful fresh cilantro, chopped"
1216,3.5 lbs. Boston Butt or Pork Shoulder
1217,1 oz. approx 3 Tbsp coffee beans
1218,1/2 cup brown sugar
1219,1/2 Tbsp cayenne pepper
1220,1/2 Tbsp salt
1221,15-20 cranks cracked black pepper
1222,1 tsp minced garlic
1223,3 lbs russet potatoes
1224,4 green onions
1225,1/2 head cabbage (6-8 cups shredded)
1226,3 Tbsp natural-style peanut butter
1227,1/2 tsp grated fresh ginger
1228,"1 medium lime, juiced (2 Tbsp juice)"
1229,2 tsp soy sauce
1230,1/4 cup neutral oil*
1231,8 oz. whole wheat spaghetti
1232,4 cups finely shredded red cabbage
1233,1/2 bunch cilantro (about 1/2 cup chopped)
1234,4 green onions (about 1/2 cup sliced)
1235,"1/2 cup peanuts, chopped"
1236,1/2 cup 2% cottage cheese
1237,"1/2 apple, chopped"
1238,1 Tbsp chopped walnuts
1239,1 Tbsp maple syrup
1240,1 pinch cinnamon
1241,1/2 cup cottage cheese
1242,1/4 cup rolled oats
1243,1 Tbsp jam (any flavor)
1244,1 large hard boiled egg
1245,6 grape tomatoes
1246,6 slices cucumber
1247,1 pinch freshly cracked black pepper
1248,1/8 tsp vanilla extract (optional)
1249,1/4 cup frozen blueberries
1250,"1/2 cup canned pineapple tidbits, drained"
