rowid,ingredient
2001,1/2 cup (or to taste) creamy Caesar dressing
2002,2 lbs. pork short ribs or pork side ribs
2003,12 cups water
2004,3 bay leaves
2005,2 slices bacon*
2006,"1 large yellow onion, chopped"
2007,"2 large carrots, chopped"
2008,"4 large potatoes, peeled and cubed (2"" cubes)"
2009,4 cups sauerkraut (or one 28oz. jar)
2010,1 tsp salt (or to taste)
2011,1/2 tsp freshly ground black pepper
2012,1 Tbsp fresh dill (optional)
2013,1.5 Tbsp stone ground or whole grain mustard
2014,14 oz. kielbasa
2015,"6 cups chopped cabbage (1 small head, 2.25 lbs)"
2016,6 inch broccoli stem (optional)
2017,1 cup kimchi* plus 2-4 Tbsp kimchi juice
2018,2 Tbsp light cooking oil
2019,"4 cups cooked, day-old rice"
2020,1/8 tsp instant or bread machine yeast
2021,3/4 to 1 cup water
2022,1/2 cup sauce
2023,Toppings of your choice
2024,1 lb boneless chicken breasts
2025,"3 Tbsp vegetable oil, divided"
2026,"3 Tbsp soy sauce, divided"
2027,"3 Tbsp rice wine, divided"
2028,"2 Tbsp corn starch, divided"
2029,2 Tbsp sambal (chili sauce)
2030,2 tsp minced garlic
2031,1 medium bell pepper
2032,1/2 lb carrots
2033,1/2 cup roasted unsalted peanuts
2034,1 1/2 cups uncooked jasmine rice
2035,2 tsp butter (for greasing the muffin tin)
2036,3 cups prepared stuffing or dressing
2037,1 cup chopped turkey or ham
2038,"1/4 lb. frozen spinach, thawed and squeezed"
2039,1/4 tsp Freshly cracked pepper
2040,6 Tbsp salted butter
2041,1.5 cups granulated sugar
2042,3/4 cup lemon juice (about 4 lemons) + 1 Tbsp zest
2043,"12 oz. frozen mixed berries, thawed"
2044,1 1/2 Tbsp cornstarch
2045,4 Tbsp cold butter
2046,5 Tbsp milk*
2047,1/2 cup yogurt
2048,2 Tbsp rolled oats
2049,1/2 Tbsp chia seeds
2050,1 Tbsp lemon curd
