rowid,ingredient
2751,1.5 cups chopped cooked chicken*
2752,1 cup frozen roasted corn kernels
2753,"4 oz can diced green chiles, drained"
2754,4 oz shredded cheese*
2755,7 8-inch tortillas
2756,8 oz. frozen corn
2757,1 packet taco seasoning
2758,"1/4 tsp salt, if needed"
2759,12 small corn tortillas
2760,1 avocado (optional)
2761,4 oz. shredded monterrey jack cheese
2762,1 delicata squash (⅔ lb.)
2763,1/2 tsp Italian seasoning blend
2764,2 eggplant (about 7″-8″ long)
2765,28 oz. crushed tomatoes
2766,2.5 lbs. sweet potatoes
2767,2 poblano peppers
2768,1/4 diced red onion (optional)
2769,1 poblano pepper
2770,1 jalapeño pepper (optional)
2771,1/4 cup tahini (sesame seed paste)
2772,"2 1/2 Tbsp olive oil, divided"
2773,1/2 cup plain yogurt*
2774,2 lbs potatoes
2775,2 lbs. radishes
2776,1.5 Tbsp olive oil
2777,1/2 12oz. jar roasted red peppers
2778,3 oz. feta
2779,6 pitas
2780,6 cups baby spinach or baby greens
2781,"1 12oz. jar roasted red peppers, drained"
2782,"1 spaghetti squash, (approx. 1.3 lbs)"
2783,2 zucchini (about 1.25 lbs.)
2784,1 yellow squash (about 0.5 lbs.)
2785,1 small red onion (about 0.5 lbs.)
2786,1/4 cup chopped fresh parsley (optional)
2787,1.5 lb. sweet potatoes
2788,"1 lb. frozen corn kernels, thawed"
2789,1/4 red onion*
2790,1 Tbsp Italian seasoning*
2791,½ cup water
2792,"2 cups shredded Italian cheese blend**, divided"
2793,2 Tbsp chopped fresh parsley (optional garnish)
2794,1 1/2 cups uncooked long grain white rice
2795,10 large flour tortillas
2796,2 1/2 cups shredded cheese
2797,2 cups couscous
2798,2 zucchini (about 20 oz.)
2799,"4 cloves garlic, peeled"
2800,1 cup couscous
