rowid,ingredient
2301,1/2 Tbsp canola oil
2302,1/2 cup unsalted peanuts
2303,4 cups cooked rice (optional)
2304,6 eggs
2305,3 Tbsp Nashville Hot Seasoning
2306,2 Tbsp crushed salt & vinegar kettle cooked potato chips
2307,1 Tbsp sliced green onion
2308,2 Tbsp cayenne pepper*
2309,1/8 tsp dark brown sugar*
2310,1/2 tsp smoked paprika*
2311,1/4 tsp onion powder*
2312,1 large sweet potato
2313,2 medium apples*
2314,1/2 lb. fresh strawberries
2315,2 graham crackers
2316,14 oz can sweetened condensed milk
2317,1 1/2 tsp mint extract
2318,1/4 cup chocolate syrup
2319,2 cups all-purpose flour plus some for dusting
2320,1/8 tsp instant or “bread machine” yeast
2321,2 1/4 cups flour (plus some for dusting)
2322,2 tsp (or one 1/4 oz. packet) instant yeast
2323,"2 bananas, mashed (about 1 cup)"
2324,1 cup unsweetened apple sauce
2325,6 cups old fashioned rolled oats
2326,1 cup unsweetened shredded coconut*
2327,1 cup banana chips*
2328,"1/4 cup chia seeds, optional*"
2329,1 1/3 cup unsweetened applesauce
2330,"1 cup blueberries, frozen or fresh"
2331,1/2 tsp almond extract
2332,1.25 lbs. 2 lg chicken breasts
2333,1 15 oz. can tomato sauce
2334,1/2 cup plain yogurt
2335,1 1/2 cups jasmine or basmati rice
2336,2 1/4 cups water
2337,1 lb. dry pinto beans
2338,1 medium jalapeno
2339,1/2 Tbs chili powder
2340,10-15 cranks cracked black pepper
2341,2-3 tsp salt
2342,1/4 tsp dried rosemary
2343,a pinch crushed red pepper
2344,1/2 tsp baking soda
2345,2 Tbsp butter (room temperature)
2346,1/2 cup pumpkin purée
2347,1/3 cup white sugar
2348,1 1/2 cup rolled oats
2349,1 1/3 tsp salt
2350,3/4 Tbsp active dry or instant yeast
