rowid,ingredient
1251,1 Tbsp shredded coconut
1252,"1/4 banana, sliced"
1253,1 tsp unsweetened cocoa powder
1254,1/8 tsp vanilla extract
1255,1/4 cup granola
1256,1/2 cup chopped cucumber
1257,1/3 cup imitation crab
1258,1/4 tsp everything bagel seasoning
1259,1/4 tsp sriracha
1260,1/2 cup sliced almonds
1261,"1 small lemon, zested"
1262,1/2 cup dried cranberries (optional)
1263,1 small orange
1264,1.25 cups all-purpose flour (plus some for dusting)
1265,"3/4 cup powdered sugar, divided"
1266,1 1/4 cups water
1267,2 Tbsp cornmeal
1268,1.5 cups whole milk
1269,1/8 tsp ground nutmeg
1270,3/4 lb frozen chopped spinach*
1271,2 oz feta
1272,12 oz. frozen chopped spinach*
1273,1/3 cup grated Parmesan
1274,1/8 tsp salt (or more to taste)
1275,2 Tbsp fresh lime juice (1 lime)
1276,1/4 cup water (or as needed)
1277,4 oz. cream cheese (room temperature)
1278,1 4oz. can diced green chiles
1279,3 dashes hot sauce (optional)
1280,1/8 tsp salt (or to taste)
1281,15 6-inch corn tortillas
1282,"3 Tbsp cooking oil, divided, for frying"
1283,1/4 tsp dried sage
1284,1/2 lb. frozen peas and carrots
1285,1/3 cup heavy cream
1286,"4 oz. cheddar, shredded"
1287,1 boneless skinless chicken breast (about 3/4 lb.)
1288,3/4 tsp chili powder
1289,2 cups fresh spinach
1290,4 8-inch flour tortillas
1291,2 tsp chili powder*
1292,1/8 tsp cayenne
1293,1 boneless skinless chicken breast (about 0.75 lb.)
1294,15 oz can fire roasted diced tomatoes
1295,4 oz cream cheese
1296,8 oz pasta (any shape)
1297,"1/2 lb. carrots, sliced"
1298,"1/2 bunch celery, sliced"
1299,1 lb. chicken breast
1300,to taste cracked pepper
