rowid,ingredient
1,24 oz. frozen mixed vegetables*
2,2 cups vegetable broth
3,1 13.5oz. can coconut milk
4,1 Tbsp curry powder
5,1/2 tsp dried ground ginger
6,salt and pepper to taste
7,2 Tbsp butter
8,2 cloves garlic
9,1.5 cups chicken broth*
10,1.5 cups milk
11,1/4 tsp salt
12,Freshly cracked black pepper
13,8 oz. linguine
14,1/4 lb. fresh baby spinach (1/2 of 8oz bag)
15,1 15oz. can quartered artichoke hearts
16,1/4 cup grated Parmesan
17,"1.5 lbs. boneless, skinless chicken thighs*"
18,1 tsp smoked paprika
19,1/4 tsp garlic powder
20,1 Tbsp cooking oil
21,1/2 cup chicken broth
22,2 Tbsp stone ground or whole grain mustard
23,2 Tbsp honey
24,1 Tbsp butter
25,1 yellow onion
26,2 Tbsp cooking oil
27,2 Tbsp flour
28,2 Tbsp mild chili powder*
29,3 oz. tomato paste
30,1/2 tsp ground cumin
31,1/2 tsp garlic powder
32,1/4 tsp cayenne pepper (optional)
33,3/4 tsp salt
34,2 cups water
35,3 cups chicken broth**
36,1 4oz. can chopped green chiles
37,1 15oz. can hominy
38,"1.5 cups shredded pork, chicken, or beef (pre-cooked)"
39,1 fresh lime
40,1/2 bunch fresh cilantro
41,1/2 lb. linguine
42,4 oz. mushrooms
43,1 cup grape tomatoes
44,4 oz. fresh spinach
45,1 Tbsp butter*
46,2 Tbsp nutritional yeast
47,1/4 tsp freshly cracked black pepper
48,1 cup whole milk
49,"6 oz. medium cheddar, shredded (about 1.5 cups)"
50,1/4 tsp chili powder
