rowid,ingredient
2201,1/2 tsp ginger powder
2202,2 tsp sesame seeds
2203,2 tsp sriracha (optional)
2204,"1 carrot, shredded"
2205,"4 mushrooms, sliced"
2206,2 3oz. blocks instant ramen
2207,16 oz. coleslaw mix (shredded cabbage and carrots)
2208,"1/2 red bell pepper, diced"
2209,1/2 12oz. jar banana pepper rings
2210,Freshly cracked black pepper (10-15 cranks of a mill)
2211,3 cups cooked farro (or other grain)
2212,1 cup hummus*
2213,1/2 English cucumber
2214,1 cup kalamata olives
2215,2 oz. crumbled feta
2216,"handful fresh parsley, chopped"
2217,10 8 inch flour tortillas
2218,1 lb. frozen chopped spinach
2219,1/2 12 oz. jar roasted red peppers
2220,1/3 9.5 oz. jar kalamata olives
2221,"handful fresh parsley, optional"
2222,"4 oz. feta cheese, crumbled"
2223,8 oz. shredded mozzarella
2224,1 English cucumber*
2225,1 pint grape tomatoes*
2226,"1/4 bunch fresh parsley, chopped (about ½ cup)"
2227,1 12oz. can chunk light tuna
2228,1 cup full-fat plain yogurt
2229,1 cup uncooked rice*
2230,2 15oz. cans butter beans*
2231,½ bunch fresh parsley
2232,1/4 tsp crushed red pepper (or Aleppo pepper)
2233,"4 large eggs, lightly beaten"
2234,1 cup crumbled feta (optional)
2235,2 cups dry red lentils
2236,3-4 stalks celery
2237,2 14.5 oz cans fire roasted diced tomatoes
2238,10-15 dashes hot sauce
2239,4 large corn cobs in their husk*
2240,1 15oz. can black beans*
2241,19 oz. lean ground turkey
2242,1/2 lime
2243,5 pita halves
2244,"2 Roma tomatoes, sliced"
2245,"8 Tbsp butter, room temperature"
2246,"4 oz. cream cheese, room temperature"
2247,1 cup + 2 Tbsp all-purpose flour
2248,"1/2 lb. frozen broccoli florets, thawed"
2249,"75 grams dark chocolate, divided"
2250,"1 large egg, lightly beaten"
