rowid,ingredient
3401,"1 tsp sriracha sauce, rooster hot sauce"
3402,"1/2 tsp sesame oil, optional"
3403,1/4 - 1/2 cup water
3404,1 large flour tortilla
3405,1/4 cup cranberry sauce
3406,1/4 cup chopped turkey
3407,1/4 cup stuffing
3408,3 slices brie
3409,1 Tbsp chopped fresh parsley
3410,1 Tbsp chopped fresh cilantro
3411,4 mini bagels
3412,"1 cucumber, sliced"
3413,8 oz. cheese
3414,4 oz. salami
3415,20 crackers
3416,16 dried apricots
3417,1 cup walnuts
3418,2 pita breads
3419,¾ cup peanut butter*
3420,60 mini pretzels
3421,8 Medjool dates
3422,1 tsp lemon juice (optional)
3423,8 slices provolone cheese
3424,36 slices pepperoni
3425,1 cup diced celery
3426,12 mini sweet peppers
3427,2 russet potatoes (about ⅔ lb. each)
3428,2 tsp active dry or instant yeast (or one 0.25oz. packet)
3429,2 cups all-purpose flour (plus more for dusting)
3430,3 oz. pepperoni (half of a 6oz. package)
3431,1/2 cup mild banana pepper rings
3432,1 lb. thin spaghetti or angel hair pasta
3433,1/4 cup unsweetened shredded coconut
3434,1 14oz. can light coconut milk
3435,"1 tsp dried basil, divided"
3436,10-15 cranks of a pepper mill
3437,3 oz. (5 Tbsp) tomato paste
3438,2 tsp active dry yeast
3439,3 cups (approx.) all-purpose flour
3440,3 oz. tomato paste (about 1/4 cup)
3441,1/2 tsp brown sugar
3442,2 cloves garlic*
3443,1 russet potato (about 1 lb.)
3444,½ tsp paprika
3445,salt for pasta water
3446,3 cups fresh spinach
3447,8 oz. mozzarella*
3448,1/4 cup whole wheat flour
3449,1 cup frozen berries
3450,"2 Tbsp butter, cold"
