rowid,ingredient
1101,4 boneless skinless chicken thighs about 1 1/4 lbs.
1102,"12 oz. bag frozen onion, bell pepper, celery mix"
1103,2 Tbsp tomato paste
1104,2 1/2 cups dry long grain white rice
1105,4 cups chicken broth
1106,1 bunch green onions
1107,3 links Mexican chorizo (about ¾ lb.)
1108,1 Tbsp chili powder**
1109,"3 Tbsp olive oil, divided"
1110,"2 lbs thinly cut pork chops, bone-in"
1111,2 tsp adobo*
1112,6 Tbsp sofrito
1113,8 oz tomato sauce
1114,1 Tbsp white distilled vinegar
1115,1 1/2 tsp sazón* (1 packet)
1116,2 cups chicken broth
1117,"1/4 cup Pimento-stuffed green olives, sliced*"
1118,2 tsp oregano
1119,1 bay leaf
1120,"1 onion, sliced in 1/4 inch half moons"
1121,"1 bell pepper, sliced into 1/4-inch strips"
1122,1 lb. cooked ham
1123,3 15oz. cans cannellini beans
1124,2 cups chicken broth (or more as needed)
1125,½ lb. carrots (3-4 carrots)
1126,1 cup brown lentils
1127,Freshly ground black pepper
1128,1 15oz. can petite diced tomatoes
1129,4 cups vegetable broth*
1130,"2.5 lb. Split turkey breast (bone-in, skin on)"
1131,1/2 cup apple cider
1132,6 chicken drumsticks (about 1.75 lbs.)
1133,1/4 tsp baking powder
1134,1 Tbsp chopped pecans or walnuts (optional)
1135,"1/2 Tbsp butter, melted"
1136,2 Tbps milk
1137,1 Tbsp powdered sugar
1138,1/2 tsp milk
1139,1/2 cup rolled oats
1140,1/2 cup riced cauliflower
1141,1/2 cup milk*
1142,1 Tbsp chopped pecans
1143,4 cups flour
1144,1 1/2 tsp salt
1145,1 Tbsp honey or sugar
1146,1 1/2 tsp yeast
1147,2 tsp cinnamon
1148,1/2 cup raisins
1149,1 cup whole wheat flour
1150,2 1/4 cups bread flour
