rowid,ingredient
2601,1 tsp fresh grated ginger
2602,2 Tbsp fresh lemon juice
2603,3 Tbsp canola (or other light oil)
2604,2 plums (about 1/2 lb. total)
2605,"2 cups cooked bulgur, quinoa, couscous, or rice (chilled)"
2606,"1.5 lb chicken thighs, boneless and skinless"
2607,"2 tsp adobo, all-purpose seasoning*"
2608,"1 yellow onion, large dice"
2609,1 packet sazón seasoning with annatto*
2610,2 tsp dried oregano
2611,"1/4 cup manzanilla olives, pimiento-stuffed"
2612,"1 large potato, 2-inch dice (about 1 cup)"
2613,"2 large carrots, 1/4-inch rounds (about 1 cup )"
2614,3 cups chicken stock
2615,1 cup 2 sticks butter
2616,"1 cup powdered sugar, divided"
2617,"2 tsp cinnamon, divided"
2618,"2 cups long grain white rice, rinsed"
2619,2.5 cups boiling water
2620,"1/4 tsp salt, divided"
2621,12 oz. pork sausage
2622,"1/2 cup Italian parsley, chopped"
2623,1/2 cup frozen or fresh sweet cherries
2624,1/2 cup red wine
2625,1/4 tsp lemon juice
2626,1/2 lb ground pork
2627,1 small head green cabbage
2628,1/4 tsp sesame oil
2629,1 sliced green onion
2630,"1/4 large carrot, shredded (optional)"
2631,1 package 52 wonton wrappers
2632,3 cubes bouillon
2633,generous non-stick spray
2634,4 cups finely shredded or chopped cabbage
2635,"2 Tbsp canola or vegetable oil, divided"
2636,1 Tbsp grated ginger
2637,1/2 lb. ground pork
2638,50 gyoza or wonton wrappers
2639,1/4 cup chili garlic sauce
2640,1/2 lb. ground pork*
2641,2 3oz. packages ramen noodles (seasoning packets discarded)
2642,"1/4 cup unsalted peanuts, chopped"
2643,1 tsp salt (to salt the boiling water)
2644,1 tsp everything bagel seasoning
2645,1 whole split chicken (3-4 lbs. total)
2646,2 Tbsp (approx.) seasoning blend of choice*
2647,1.5 cups long grain white rice
2648,Handful parsley (optional)
2649,1/2 lb smoked sausage (like andouille)*
2650,1 lb dry uncooked red beans
