rowid,ingredient
3151,1/2 cup evaporated milk
3152,"4 oz. sharp cheddar, shredded"
3153,1 lb. bow tie pasta
3154,2 oz. 1/2 cup smoked gouda
3155,2 oz. 1/2 cup shredded Italian cheese
3156,8 oz frozen seafood mix*
3157,1/4 tsp red pepper flakes (optional)
3158,8 oz fettuccine
3159,Handful fresh parsley (optional garnish)
3160,"1/2 lb. peeled & deveined shrimp, 41/50 size"
3161,1/4 tsp crushed red pepper flakes
3162,2 large sweet potatoes (about 2 lbs. total)
3163,1 tsp Creole seasoning or spicy seasoning salt*
3164,1 medium cucumber
3165,1 medium carrot
3166,3 cups cooked rice*
3167,4 Tbsp sriracha hot sauce
3168,1 3/4 cup vegetable broth
3169,2 russet potatoes (about 2.5 lbs.)
3170,2 cups (packed) fresh spinach
3171,2 oz crumbled feta
3172,1 lb. lean ground turkey (93% lean)
3173,"1/4 tsp freshly cracked pepper, divided"
3174,"8 oz. mozzarella*, shredded"
3175,5 7-inch flour tortillas
3176,1/3 cup spinach artichoke dip
3177,1 medium flour tortillas
3178,1/3 cup shredded rotisserie chicken
3179,dash hot sauce
3180,1 13oz. can artichoke hearts
3181,4 oz. fresh or frozen spinach
3182,3 oz. feta (optional)
3183,2 cups cooked quinoa (or other grain)
3184,1 10oz. box frozen chopped spinach
3185,1/8 tsp Salt
3186,1/2 lb orzo
3187,4 cups fresh baby spinach
3188,1/2 cup sun dried tomatoes
3189,1 cup cottage cheese
3190,4 portobello mushrooms
3191,1/2 cup marinara sauce (optional)
3192,1 28oz. can petite diced tomatoes
3193,19 oz. frozen cheese tortellini
3194,4 oz pepper jack cheese
3195,1/2 lb frozen chopped spinach
3196,15 oz can white beans*
3197,Handful fresh chopped cilantro for garnish (optional)
3198,3/4 cup whole milk
3199,6 oz bacon
3200,1 lb split peas
