rowid,ingredient
2151,1/2 cup pesto
2152,"1 large lemon, cut into wedges"
2153,"2 oz. ham, diced"
2154,1/2 cup diced bell pepper
2155,1/4 cup diced onion
2156,1.33 cup rolled oats
2157,4 Tbsp ground flaxseed
2158,4 Tbsp hulled hemp seeds
2159,2 Tbsp chia seeds
2160,pinch salt*
2161,"2.67 cup water, milk, or non-dairy milk"
2162,sweetener of choice
2163,"Optional fresh add-ins: fresh fruit, nuts, peanut butter, jam, maple syrup"
2164,2 large russet potatoes (about 2 lbs.)
2165,"4 Tbsp cooking oil, or as needed"
2166,Seasoning salt to taste
2167,1/2 lb. frozen mango chunks*
2168,1 13oz. can lite coconut milk*
2169,6 Tbsp chia seeds
2170,1.5 cups uncooked jasmine or basmati rice
2171,1 tsp corn starch
2172,1 14oz. package firm or extra firm tofu
2173,2 Tbsp neutral oil for frying
2174,"1 avocado, sliced"
2175,2 medium mangoes
2176,1 20 oz. can pineapple in juice
2177,1/2 cup cider vinegar
2178,1 Tbsp garam masala
2179,"1/4 cup raisins, optional"
2180,19 oz. ground turkey
2181,½ cup olive oil
2182,¼ cup red wine vinegar
2183,¼ tsp freshly cracked black pepper
2184,1 2.25oz. can sliced black olives
2185,½ 12oz. jar banana pepper rings
2186,⅓ cup diced red onion
2187,1/2 bunch parsley
2188,"2 oz feta, crumbled"
2189,1 lb. fresh button mushrooms
2190,5 sprigs fresh thyme
2191,2 portobello mushroom caps (about 1/2 lb. total)
2192,"1/4 red onion, sliced into rings"
2193,2 -15 oz cans butter beans
2194,1 Tbsp vegetable or canola oil
2195,1 chicken breast (about 3/4 lb.)*
2196,6 cups chicken broth**
2197,Few sprigs fresh dill
2198,3 Tbsp vegetable or canola oil
2199,3/4 cup matzo meal
2200,4 tsp bouillon*
