rowid,ingredient
1901,12 oz. frozen cut green beans
1902,1 cup vegetable broth
1903,1/2 cup Fried Onions*
1904,1.5 Tbsp all-purpose flour
1905,1/4 tsp rubbed sage
1906,1/8 tsp dried thyme (or one sprig fresh)
1907,4-5 frozen broccoli florets
1908,"1 large egg, soft boiled or fried"
1909,2 Tbsp hummus
1910,Pinch of sesame seeds
1911,Sriracha to taste
1912,1 large pizza dough
1913,"1/2 recipe hummus, any flavor"
1914,1 small summer squash
1915,1 medium portabello mushroom cap
1916,1/2 small red onion
1917,1/3 of 12 oz. jar roasted red peppers
1918,"1/2 tsp crushed red pepper, optional"
1919,1 Tbsp cornmeal
1920,8 oz. fresh spinach
1921,2 tsp ground cumin
1922,1 tsp garam masala
1923,1/4¼ tsp cayenne pepper
1924,3/4 tsp salt (or to taste)
1925,1 lb beef stew meat (cubed)
1926,Salt and pepper
1927,2 cups beef broth*
1928,14 oz bag frozen pearl onions
1929,0.75 lb potatoes
1930,1 cup uncooked jasmine rice
1931,1-2 inches fresh ginger
1932,3 shittake mushrooms
1933,2 lb. bone-in chicken pieces
1934,7 cups water
1935,"1/3 cup peanuts, chopped"
1936,4 oz. dry (Spanish) chorizo
1937,2 cups dry pinto beans
1938,2 bay leaves
1939,3 cups reduced sodium chicken broth*
1940,15 oz. can diced tomatoes**
1941,1 Tbsp lemon Juice
1942,1 tsp Italian seasoning blend*
1943,1 cup orzo (uncooked)
1944,2 roasted red peppers (1/2 of 12oz. jar)
1945,1/3 cup kalamata olives
1946,1/2 12oz. jar quartered artichoke hearts
1947,"1 lb. Italian sausage (hot, mild, or sweet)"
1948,2 15oz. cans cannellini beans*
1949,8 oz. spinach
1950,12 oz. fettuccine
