rowid,ingredient
301,2 Tbsp brown sugar
302,1 Tbsp cornstarch
303,"4 boneless, skinless chicken thighs (about 1 1/4 lbs)"
304,"3 whole green onions, sliced"
305,1/2 cup breadcrumbs
306,1/2 tsp smoked paprika
307,1/2 tsp cayenne
308,freshly cracked pepper
309,1.5 Tbsp cooking oil
310,1/4 cup plain yogurt
311,1 tsp hot sauce
312,"1 boneless, skinless chicken breast (about 2/3 lb.)"
313,3 cups shredded cabbage slaw mix (pre-bagged)
314,2 Tbsp mayonnaise
315,1/3 cup plain whole milk yogurt
316,1/2 Tbsp honey
317,1 tsp Dijon mustard
318,1 tsp apple cider vinegar
319,2 buns
320,1.5 Tbsp natural style peanut butter
321,1/2 Tbsp brown sugar
322,"1 small clove garlic, minced"
323,1/4 tsp grated fresh ginger
324,"1 lime, juiced (1 Tbsp juice)"
325,1 tsp soy sauce
326,2 Tbsp neutral oil*
327,1 pinch salt
328,1 handful fresh cilantro
329,1/4 cup peanuts
330,1 pinch crushed red pepper
331,4 Tbsp balsamic vinegar
332,1.5 Tbsp soy sauce
333,1/4 tsp dried thyme
334,"4 boneless, skinless chicken thighs (about 1.25 lbs. total)"
335,1/4 cup balsamic vinegar
336,1 Tbsp soy sauce
337,Freshly cracked pepper
338,"6 boneless, skinless chicken thighs"
339,4 oz. whole milk mozzarella
340,2 Roma tomatoes
341,1/4 bunch fresh parsley
342,4 boneless skinless chicken thighs
343,Fresh parsley for garnish (optional)
344,1 lb. mushrooms
345,3 Tbsp balsamic vinegar
346,2 lbs. russet potatoes
347,"6 oz. kale, chopped"
348,"3/4 tsp salt, divided"
349,1/2 cup sour cream
350,1/2 cup milk
