rowid,ingredient
1301,1-2 tsp to taste salt
1302,1 cup wild rice mix
1303,6 cups water
1304,2 cups whole milk
1305,1 Tbsp curry powder*
1306,1 cup brown lentils (dry)
1307,2 cups vegetable broth**
1308,1 13oz. can coconut milk
1309,3 cups fresh baby spinach
1310,1/4 cup chopped fresh cilantro
1311,1/2 tsp dried dill
1312,1 large cucumber
1313,8 oz mushrooms
1314,"4 boneless, skinless chicken thighs"
1315,1 cup half and half
1316,Parsley for garnish (optional)
1317,1 5oz. container plain Greek yogurt
1318,1/4 tsp dried dill
1319,1 lb. penne
1320,1 cucumber (about 2 cups chopped)
1321,16 oz. mushrooms
1322,1/2 tsp rubbed sage
1323,1/2 tsp dried rosemary
1324,3 cups vegetable broth
1325,1 13.5oz. can full-fat coconut milk
1326,8 oz. baby bella mushrooms
1327,"2 boneless, skinless chicken breast (about 1.3 lbs. total)"
1328,"2 Tbsp butter, divided"
1329,1/2 cup heavy cream
1330,1/4 cup crispy fried onions
1331,1 Tbsp chopped fresh parsley (optional garnish)
1332,12 oz fettuccine
1333,1.5 cups vegetable broth
1334,3 sprigs fresh thyme (or 1/4 tsp dried)
1335,1/2 cup half and half
1336,1/2 yellow onion
1337,1/2 cup white wine
1338,1/2 cup half & half
1339,2 oz. Parmesan
1340,2 cups uncooked macaroni
1341,1/4 cup basil pesto
1342,1/2 lb. frozen spinach
1343,8 oz. bow tie pasta
1344,8 oz. frozen broccoli florets
1345,1/3 cup basil pesto
1346,1 16oz. jar roasted red peppers
1347,1/3 cup sour cream
1348,2 oz. queso fresco*
1349,1 handful fresh cilantro or sliced green onions
1350,4 cups cooked rice for serving
