rowid,ingredient
2901,"3 Tbsp BBQ sauce, divided"
2902,4 fully-cooked chicken sausage links (about 12 oz)
2903,1 head broccoli
2904,1 sweet potato (about 1/2 lb.)
2905,1.5 lbs. sweet potatoes
2906,"2 boneless, skinless chicken breasts (1.33 lbs. total)"
2907,1/2 cup whole berry cranberry sauce (canned)
2908,1.5 lbs. boneless skinless chicken breast
2909,15 kalamata olives (about 1/2 cup)
2910,24 oz. petite red potatoes
2911,12 oz. kielbasa
2912,12 oz. frozen green beans
2913,1/2 Tbsp steak seasoning
2914,1 lb. baby potatoes
2915,3 pinches salt and pepper
2916,1/4 cup pesto
2917,4 oz. fresh mozzarella
2918,1/4 lb. spring mix
2919,1/4 cup Caesar dressing
2920,4 cups all-purpose flour
2921,2 tsp instant yeast
2922,1 Tbsp olive oil*
2923,"3 Tbsp olive oil, divided*"
2924,1 14oz. jar pizza sauce
2925,"1/2 cup Parmesan cheese, shredded or grated"
2926,1/2 cup pepperoni slices (about 3 oz.)
2927,1/3 cup pickled jalapeños
2928,1 large onion
2929,20 oz can pineapple chunks
2930,2 boneless skinless chicken breasts (about 1.25 lb.)
2931,1/3 cup rice or apple cider vinegar
2932,1.5 Tbsp cornstarch
2933,3 lbs. boneless beef shoulder roast
2934,2 Tbsp chili powder
2935,1 Tbsp cumin
2936,4-5 cloves garlic
2937,"1/2 lb. medium shrimp, peeled and deveined"
2938,1/2 lb. fettuccine
2939,3/4 cup Parmesan*
2940,1/4 tsp freshly cracked pepper (or to taste)
2941,20 oz. can pineapple chunks in juice
2942,1/4 cup unsweetened coconut shreds*
2943,3 Tbsp cooking oil**
2944,1/2 lb. peeled and deveined shrimp (51/70 count)
2945,4 cups day-old cooked jasmine rice $0.40
2946,Handful fresh cilantro (optional)
2947,1/2 red bell pepper*
2948,1/4 tsp dried basil
2949,1/8 tsp dried oregano
2950,1 cup long grain jasmine rice
