rowid,ingredient
2451,"1 oz. feta, crumbled"
2452,1/2 lb. smoked sausage (preferably Andouille)
2453,1 10oz. bag frozen “seasoning mix”*
2454,1/2 Tbsp Creole seasoning**
2455,1 lb. penne pasta
2456,2 Tbsp half and half or cream
2457,4 medium peaches
2458,"1/2 medium lemon, juiced"
2459,1/2 tsp cornstarch
2460,3/4 cup rolled oats
2461,8 Tbsp 1 stick butter (room temp)
2462,2 15oz. cans sliced peaches in their juices
2463,"1/2 cup brown sugar, divided"
2464,"8 Tbsp salted butter, divided"
2465,"1/2 tsp vanilla, divided"
2466,"1/2 tsp cinnamon, divided"
2467,3 cups oats (old-fashioned or rolled)
2468,"2 large eggs, beaten"
2469,"6 peaches*, peeled and cut into 3/4 inch slices"
2470,1 1/2 cups flour
2471,1/2 cup sliced toasted almonds
2472,8 peaches
2473,2 tbsp corn starch
2474,1 tbsp heavy cream
2475,1/2 cup creamy natural peanut butter
2476,3/4 cup powdered sugar
2477,4 chocolate graham crackers
2478,1 1/4 cup all-purpose flour
2479,1 cup rolled oats
2480,"1/2 cup salted butter, room temperature"
2481,1 extra large egg
2482,3/4 cup jam or jelly
2483,1/4 cup peanuts*
2484,3 graham crackers
2485,2 Tbsp peanut butter (optional)
2486,3 Tbsp milk chocolate chips
2487,10 large marshmallows
2488,1 Tbsp coconut oil (or a neutral oil)
2489,3 cups riced cauliflower
2490,1 tsp freshly grated ginger
2491,1 fresh lime (2 Tbsp juice)
2492,1/2 Tbsp chili garlic sauce
2493,1/2 cup chopped peanuts*
2494,1 cup fresh cilantro leaves
2495,1/3 cup smooth natural-style peanut butter
2496,8 oz. noodles*
2497,1/3 cup hot water
2498,1 lb. frozen stir fry vegetables
2499,8 oz. soba noodles
2500,"2 sliced green onions, optional"
