rowid,ingredient
2551,1/2 cup sofrito
2552,1/2 cup sliced pimento-stuffed green olives *
2553,1/2 Tbsp white vinegar
2554,15 oz tomato sauce
2555,"3 lbs boneless and skinless chicken thighs, about 5 to 6"
2556,1 1/2 tsp sazón**
2557,"2 Tbsp cooking oil, plus a touch more for greasing"
2558,1 cup BBQ Sauce
2559,1/2 cup pineapple chunks with juice
2560,4-5 large ice cubes
2561,20 oz. can pineapple slices in juice
2562,"2 oz. Monterey jack cheese, shredded"
2563,"6 Tbsp teriyaki sauce, divided"
2564,"1 Tbsp cooking oil, divided"
2565,4 Onion Rolls
2566,1.25 lbs. boneless pork chops
2567,1 Vidalia onion
2568,1 20oz. can pineapple chunks (packed in juice)
2569,Sriracha (to taste)
2570,1/2 frozen banana
2571,1/2 cup frozen pineapple chunks
2572,1/2 tsp brown sugar (optional)*
2573,1 Tbsp ground flaxseed (optional)
2574,1 cup milk of choice (I used unsweetened almond milk)
2575,1 cup cooked rice (preferably jasmine rice)
2576,1 tsp soy sauce*
2577,1 tsp sriracha*
2578,Splash of sesame oil*
2579,1/3 cup chopped pineapple
2580,1 18 oz. jar pineapple jam
2581,1/2 Tbsp cornstarch
2582,4 lbs. bone-in chicken thighs
2583,1 1/8 cup warm water
2584,1 1/2 tsp sugar
2585,1/2 cup whole wheat flour
2586,2 1/2 cups all-purpose flour
2587,3/4 cups warm water
2588,1 tsp yeast*
2589,"1 Tbsp butter, room temperature"
2590,1/3 cup shredded mozzarella
2591,1 Tbsp pizza sauce
2592,6 slices pepperoni
2593,1 lb. rotini pasta
2594,1/2 4oz. can sliced black olives
2595,6 10-inch flour tortillas
2596,2 cups shredded mozzarella
2597,30 pepperoni slices
2598,2.25oz can sliced black olives
2599,1 can mushrooms
2600,1/2 batch Thick & Rich Pizza Sauce
