rowid,ingredient
3301,1 10oz. pkg frozen chopped spinach
3302,8 oz. Swiss cheese
3303,1 broccoli crown (about 1/2 lb.)
3304,2.25 oz. can sliced olives
3305,1/3 cup Italian Dressing
3306,2 tsp cornstarch
3307,"4 boneless, center cut pork chops, 1-inch thick (about 1.5 lbs. total)"
3308,1/2 tsp paprika
3309,"1.5 lbs. boneless, skinless chicken thighs (4-5 pieces)"
3310,"1 15oz. can black beans, rinsed"
3311,4 Tbsp ranch dressing
3312,2 5oz. cans tuna*
3313,1.5 tsp apple cider vinegar
3314,1.5 cups jasmine rice
3315,1 cup sweet chili sauce*
3316,1 8oz. can pineapple tidbits in juice
3317,1 lb. broccoli crown**
3318,2 Tbsp cooking oil*
3319,2-3 green onions
3320,1/2 cup sweet chili sauce
3321,2 tsp sesame seeds (optional)
3322,3 ears sweet corn
3323,1 tsp mild chili powder
3324,Freshly Cracked black Pepper to taste
3325,1 cup uncooked brown rice
3326,1 3/4 cup chicken broth
3327,1 ripe avocado
3328,3 lbs sweet potatoes
3329,"1/4 bunch cilantro, divided"
3330,1/3 cup yellow cornmeal
3331,1/2 cup vegetable oil for frying
3332,2 cups Roasted Poblano and Sweet Potato Salad
3333,4 fajita size flour tortillas
3334,10 oz can enchilada sauce
3335,1 cup uncooked bulgur*
3336,1 cup fresh cilantro (loosely packed)
3337,1 cup fresh parsley (loosely packed)
3338,1 to 1 1/4 lb sweet potato
3339,1 cup uncooked yellow grits
3340,1/4 teaspoon cinnamon
3341,1/2 cup masa harina or cornmeal**
3342,"Optional toppings: cilantro, avocado, shredded cheddar, sour cream, crispy tortilla strips, fresh lime"
3343,1/2 Tbsp chili powder blend
3344,2 cups broken tortilla chips
3345,1/2 head iceberg lettuce
3346,1 1/2 lb. ground beef
3347,2 cups black beans
3348,2 cups pinto beans
3349,1 recipe taco seasoning
3350,12 oz. jumbo shells
