rowid,ingredient
2401,2 Tbsp sesame seeds
2402,14 oz block extra-firm tofu
2403,"2 Tbsp neutral oil (vegetable, canola, peanut)"
2404,1/2 lb frozen broccoli florets
2405,"3-4 green onions, sliced"
2406,"3 cups bread, cubed"
2407,"1/4 cup olive oil, divided"
2408,1 pint cherry tomatoes
2409,1 nectarine
2410,10 oz. baby spring mix
2411,4 oz. mozzarella pearls
2412,2 tsp active dry yeast or one 1/4 oz. envelope
2413,1/4 cup baking soda
2414,1 1/2 Tbsp butter
2415,1 bunch kale (curly or lacinato)
2416,1/2 lb pasta (any shape)
2417,8 oz baby portobello mushrooms
2418,2 cups uncooked orzo
2419,1 lb. fettuccini
2420,1 bunch Italian parsley
2421,1/2 cup grated parmesan
2422,1 bunch fresh parsley
2423,1 lb. pasta (any shape)
2424,5 fried eggs (optional)
2425,"1 bunch flat leaf Italian Parsley (about 2-3 cups, loosely packed)"
2426,1/2 cup grated or shredded Parmesan
2427,salt and pepper
2428,1 lb. pasta*
2429,1.5 lbs. potatoes
2430,1/2 bunch Italian parsley
2431,1.5 cups cooked and cooled bulgur*
2432,10 dried apricots (about 1/2 cup)
2433,2 Tbsp vegetable or canola oil
2434,1/2 tsp salt + freshly cracked pepper to taste
2435,"1 fresh lemon, or 1/4 cup juice"
2436,"1 clove garlic, or 1/4 tsp garlic powder"
2437,2 scallions (green onions)
2438,1 cup pumpkin purée
2439,1 cup chicken broth*
2440,1/4 tsp chili powder**
2441,Pinch cayenne pepper
2442,2 Tbsp half & half or cream
2443,1/2 tsp Freshly cracked black pepper
2444,2 Tbsp Fresh lemon juice
2445,3 anchovy filets
2446,1/2 cup sliced kalamata olives
2447,2 Tbsp capers
2448,1 lb. spaghetti
2449,2 Italian sausage links (about ½ lb.)
2450,1/2 lb. penne pasta
