rowid,ingredient
651,1/4 cup light mayonnaise
652,1 Tbsp apple cider vinegar
653,1 Tbsp honey
654,4 cups broccoli florets (about 2 crowns)
655,1/3 cup dried cranberries
656,1/4 cup raw sunflower seeds
657,3 crowns broccoli (1.5-2 lbs)
658,1 tsp sesame oil
659,1 1/2 Tbsp sambal
660,1 tsp brown sugar
661,"1-2 cloves garlic, minced (1 tsp)"
662,salt to taste
663,8 oz. pasta
664,1/2 lb. frozen broccoli florets*
665,"1/2 small onion, about 1/2 cup diced"
666,3 Tbsp all-purpose flour
667,2.5 cups milk
668,2 cups shredded sharp cheddar
669,1/4 cup grated parmesan
670,Salt and pepper to taste
671,1 Tbsp Dijon mustard
672,8 oz. button mushrooms
673,1 green bell pepper
674,4 oz. grape tomatoes
675,1 yellow or red onion
676,1.5 cups long grain white rice*
677,2.5 cups water
678,1/2 bunch fresh parsley
679,Zest of one lemon
680,4 slices bacon
681,1/2 cup mayonnaise
682,1/2 tsp chipotle chili powder
683,4 brioche buns
684,4 eggs
685,1 large tomato
686,1 head lettuce*
687,1/2 tsp freshly cracked pepper
688,4 Roma tomatoes
689,12 oz. penne pasta
690,"1/2 cup fresh basil, loosely packed"
691,2 Tbsp melted butter
692,3 Tbsp hot sauce
693,1/8 tsp smoked paprika
694,1/16 tsp garlic powder
695,8 oz. tempeh
696,8 oz. coleslaw mix (shredded cabbage and carrot)
697,2 large hoagie rolls*
698,1 avocado
699,1 lb. ground pork
700,"3 cloves garlic, finely chopped"
