rowid,ingredient
951,1 Tbsp toasted sesame oil
952,1 Tbsp fresh grated ginger
953,1 lb ground chicken
954,"8 oz canned water chestnuts, drained"
955,12 lettuce leaves
956,1/4 tsp fresh grated ginger
957,"1 medium lime, juiced (1 Tbsp juice)"
958,2 Tbsp neutral oil
959,2 Tbsp light or neutral oil*
960,4 tsp soy sauce
961,1 tsp grated fresh ginger
962,1/2 Tbsp sesame seeds
963,6 cups salad greens**
964,11oz can mandarin oranges
965,1 rotisserie chicken breast
966,1/4 cup sliced almonds
967,1/4 small red onion
968,1/2 avocado
969,1 Tbsp taco seasoning
970,"1 lb. boneless, skinless chicken breast"
971,15 oz. corn tortilla chips (1 large bag)
972,3 cups shredded Mexican cheese blend
973,1/2 cup fresh cilantro
974,"1 lime, zested and juiced"
975,2 Tbsp crumbled queso fresco
976,1/4 bunch Italian parsley
977,"2-3 boneless, skinless chicken breasts (about 2 lbs)"
978,Pinch salt and pepper
979,1/2 cup chicken broth*
980,1 Tbsp capers
981,5 cups chicken broth*
982,1 chicken breast (about ¾ lb)*
983,1 15oz. can pumpkin pureé
984,1/2 cup frozen corn kernels
985,1-2 chipotle peppers in adobo sauce
986,1 Tbsp ground cumin
987,1/2 head green cabbage
988,1 crown broccoli
989,1 large chicken breast
990,"2 3oz. packages ramen noodles, seasoning packets discarded"
991,"1 tsp sesame oil, optional"
992,1/4 cup worcestershire sauce
993,2 Tbsp ketchup
994,1/4 cup cooking oil
995,8 white or yellow corn tortillas (8-inch)
996,1 10oz. can red enchilada sauce*
997,1/4 cup crumbled queso fresco
998,1/2 cup shredded Oaxaca cheese
999,1/4 cup fresh cilantro leaves
1000,1/3 cup sliced green onions
