rowid,ingredient
151,"1 large egg, white and yolk separated"
152,1 Tbsp heavy cream
153,1 large egg
154,1/4 cup unsweetened apple sauce
155,1 tsp lemon juice
156,1 medium apple*
157,2 cups all-purpose flour (plus a small amount for dusting)
158,2 tsp baking powder
159,1/2 tsp ground ginger
160,5 Tbsp cold butter
161,1/2 cup powdered sugar
162,2 tsp water
163,3 lbs. russet potatoes
164,1 cup chicken broth
165,1/2 Tbsp seasoning*
166,3 Tbsp butter
167,4 thin cut pork chops
168,2 Tbsp olive oil
169,1/2 cup apricot preserves
170,2 Tbsp dijon mustard
171,2 Tbsp apple cider vinegar
172,1/8 tsp garlic powder
173,1/4 cup water
174,a pinch salt and pepper
175,1 tsp adobo*
176,1 packet sazón**
177,1/4 cup diced yellow onion
178,1 Tbsp minced garlic
179,1/4 cup sofrito
180,2 Tbsp tomato sauce
181,2 Tbsp pimiento stuffed Spanish olives
182,2 tsp capers
183,2 5oz. cans Vienna sausages
184,2 cups long-grain white rice
185,"2 1/2 cups chicken broth, boiling"
186,1/4 cup chopped cilantro leaves for garnish
187,"1 cup Swiss chard, stems removed*"
188,1 cup fresh spinach
189,1 cup parsley
190,1/2 cup cilantro
191,1/2 cup olive oil
192,3 cloves garlic
193,"2 cups long grain white rice, washed & rinsed"
194,2 cups boiling water
195,Salt to taste
196,1/2 cup cooked green peas
197,"1/4 cup scallions, thinly sliced"
198,1 apple
199,1 tsp butter
200,1 pinch cloves (optional)
