rowid,ingredient
1701,1/2 cup plain Greek style yogurt
1702,6 pieces flatbread
1703,10 oz. container hummus
1704,1 medium lemon
1705,3 1/2 to 4 lbs chicken pieces
1706,1 medium red onion
1707,1 small eggplant
1708,2 medium green bell peppers
1709,"1 boneless, skinless chicken breast (about ¾ lb.)*"
1710,3 Tbsp olive oil
1711,1/8 tsp Freshly cracked pepper
1712,4 oz. feta cheese
1713,4 whole pita breads (8 half round pockets)
1714,1/2 cup plain Greek yogurt
1715,1/8 tsp dried dill
1716,19 oz. ground turkey*
1717,1/4 cup sun dried tomatoes
1718,1/4 cup minced red onion
1719,2 oz. frozen spinach (1 cup when frozen)
1720,1/4 cup crumbled feta
1721,5 hamburger buns
1722,"19 oz. Ground turkey, 97% lean"
1723,"1 cup long grain white rice, uncooked"
1724,1/4 lb frozen cut leaf spinach
1725,"1/3 cup sun dried tomato halves (about 7 pcs), sliced"
1726,"1/2 cup kalamata olives, sliced"
1727,1 oz feta
1728,"4 oz. Monterrey Jack or Pepper Jack, shredded"
1729,1 4 oz. can diced mild green chiles
1730,"1/4 bunch fresh cilantro, chopped"
1731,4 fajita size 8″ diameter tortillas
1732,1/2 lb. macaroni
1733,"8 oz. Monterey Jack cheese, shredded"
1734,2 4oz. cans diced green chiles
1735,6 corn tortillas
1736,8 large eggs
1737,2 oz. queso fresco or Monterey jack
1738,1 Pinch salt & pepper
1739,19 oz. pkg ground turkey
1740,"4 oz. can diced green chiles, drained"
1741,"2 oz pepper jack cheese, shredded"
1742,1 large tomato (optional)
1743,1 large avocado (optional)
1744,2 medium cucumbers
1745,1 medium white onion
1746,1 medium green bell pepper
1747,1 medium avocado
1748,1 cup basil leaves
1749,1/2 cup Italian parsley leaves
1750,1/4 cup fennel fronds*
