rowid,ingredient
3351,1 recipe red enchilada sauce
3352,2 cups shredded cheese
3353,3-4 whole green onions
3354,3 oz. feta cheese
3355,2 tsp chili powder
3356,1/2 cup salsa
3357,"pinch red pepper flakes, optional"
3358,8 oz. buckwheat soba noodles
3359,"3 lbs pork butt roast, boston butt"
3360,1 medium sweet onion
3361,1 cup teriyaki sauce
3362,15 oz can pineapple slices
3363,"1 inch fresh ginger, optional"
3364,8 pack hamburger/sandwich buns
3365,1 lb. salmon filet
3366,2 Tbsp. water
3367,1/2 Tbsp. toasted sesame oil
3368,1/2 tsp minced garlic
3369,2 Tbsp. brown sugar
3370,2 Tbsp. rice wine
3371,2 Tbsp. sriracha hot sauce
3372,1 batch 8 pcs naan
3373,1/2 cup peanut butter
3374,approx. 2 Tbsp sriracha hot sauce
3375,2 medium chicken breasts
3376,"5 boneless, skinless chicken thighs"
3377,2 Tbsp red Thai curry paste
3378,1/4 tsp fish sauce
3379,5 cups cooked jasmine or basmati rice
3380,2-3 green onions**
3381,2 Tbsp butter or coconut oil
3382,4 Tbsp red Thai curry paste
3383,1 13.5oz. can full fat coconut milk
3384,cilantro
3385,sriracha
3386,2 Tbsp neutral cooking oil*
3387,2 Tbsp Thai red curry paste
3388,1 small sweet potato (about 1 lb.)
3389,1 bunch baby bok choy
3390,4 cups vegetable or chicken broth
3391,1/2 Tbsp fish sauce
3392,3.5 oz. rice vermicelli noodles
3393,1/2 fresh lime (1.5-2 Tbsp juice)
3394,1/2 Tbsp chili garlic sauce (or Sriracha)
3395,1 Tbsp honey (or brown sugar)
3396,3 lbs chicken pieces
3397,3/4 cup natural style peanut butter
3398,"1/4 cup coconut milk, optional"
3399,juice from 1/2 a lime
3400,"1 inch fresh ginger, peeled, grated (optional)"
