rowid,ingredient
2701,"1 green onion, thinly sliced*"
2702,8 oz can tomato sauce
2703,1 cup raspberry jam
2704,1/4 cup cider vinegar
2705,1 pepper + sauce chipotle peppers  in adobo
2706,4 lbs chicken thighs (8 pieces)
2707,9 oz. ravioli*
2708,"1/4 cup walnuts, chopped"
2709,1/2 tsp dried sage
2710,1/4 lb. fresh spinach
2711,12 oz bag fresh cranberries
2712,1 med orange
2713,1 med lime
2714,1/2 tsp cumin*
2715,1/8 tsp cayenne pepper*
2716,1/2 tsp onion powder*
2717,1 tsp brown sugar*
2718,1/2 tsp salt*
2719,freshly cracked pepper*
2720,1/2 6oz. can tomato paste
2721,1 cup uncooked macaroni noodles
2722,"3 oz. medium cheddar, shredded"
2723,"1 15oz. can petite diced tomatoes, with juices"
2724,"1 6oz. jar quartered artichoke hearts, drained"
2725,"1/4 bunch fresh parsley, chopped"
2726,1/2 lb. raw medium shrimp (41/50 size)*
2727,1 1/2 cups cooked rice (cooled)
2728,1 cup flour
2729,1 Tbsp granulated sugar
2730,1 cup ricotta*
2731,"2 Tbsp oil, for cooking"
2732,1 lb. broccoli crowns
2733,1 tsp steak seasoning
2734,8 oz. whole wheat penne pasta
2735,1 oz. crumbled feta
2736,1 lb frozen broccoli florets
2737,1 Tbsp neutral oil
2738,1 cup crunchy chow mein noodles
2739,1 lb. fresh Brussels sprouts
2740,12 oz. vegetarian Italian sausage*
2741,1 lb. Brussels sprouts*
2742,1 lb. sweet potatoes*
2743,2 Tbsp extra virgin olive oil
2744,1/3 cup Southern Grove Chopped Pecans*
2745,2 oz. goat cheese
2746,2 cups quinoa
2747,3 cups vegetable broth*
2748,1 Tbsp finely chopped cilantro
2749,1 15 oz. can black beans
2750,Fresh cilantro and sliced green onion for garnish
