rowid,ingredient
401,8 fajita size flour tortillas
402,3/4 cup BBQ sauce
403,2 cups shredded monterrey jack cheese
404,3 whole green onions
405,1 small red onion
406,1 cooked chicken breast*
407,"1 cup frozen corn kernels, thawed"
408,1 small zucchini
409,4 oz. pepper jack cheese
410,1 small avocado
411,2 small red onions (or one large)
412,1 fresh pineapple
413,1.3 lbs. Simply Nature Organic Chicken Breasts
414,"2 Tbsp cooking oil, divided"
415,1 tsp sweet paprika
416,1/2 cup Burman's Original BBQ Sauce
417,"2 green onions, sliced"
418,"1 boneless, skinless chicken breast (about ⅔ lb.)"
419,½ tsp smoked paprika
420,¼ tsp garlic powder
421,⅛ tsp salt
422,⅛ tsp pepper
423,½ Tbsp cooking oil
424,¼ cup BBQ sauce
425,1 prepared pizza dough
426,½ cup BBQ sauce
427,"4 oz. Monterey jack cheese, shredded"
428,"1 jalapeño (optional), sliced"
429,¼ cup sliced red onion
430,3 lbs pork ribs
431,2 tsp salt
432,1 tsp black pepper
433,2 tsp garlic powder
434,2 tsp onion powder
435,2 tsp smoked paprika
436,2 tsp cayenne
437,2 tsp ground mustard
438,3 cups chicken broth
439,1 1/2 cups BBQ sauce
440,14 oz. block firm or extra firm tofu
441,1/4 cup BBQ Sauce
442,1/2 lb. shredded cabbage slaw mix* (about 3 cups)
443,3 Tbsp BBQ sauce
444,3 Buns
445,1 lb. ground beef
446,"5 cups cabbage, shredded (about 1 lb.)"
447,2 15oz. cans stewed tomatoes
448,freshly cracked black pepper
449,6 cups beef broth*
450,1 lemon
