rowid,ingredient
2051,"2 strawberries, sliced"
2052,6 Tbsp cold butter*
2053,"1/2 cup blueberries, frozen or fresh"
2054,¼ cup milk
2055,1 cup powdered sugar
2056,1 lb. green beans
2057,Salt and Freshly Cracked Pepper to taste
2058,1 1/2 cups all-purpose flour
2059,1/2 cup butter
2060,1 1/2 cups granulated sugar
2061,1/2 cup lemon juice
2062,3/4 cup shredded coconut
2063,1/4 cup warm water
2064,6 oz. chopped kale (1/2 of a 12oz. bag)
2065,1 6oz. can salmon
2066,1 bunch asparagus (1 lb.)
2067,2 small or 1 large lemon
2068,2 lbs split chicken breasts*
2069,8 oz. thin spaghetti
2070,1/2 cup chopped fresh parsley
2071,1/2 Tbsp lemon pepper seasoning
2072,2 tsp poppy seeds
2073,1 cup room temperature salted butter (plus more for greasing)
2074,1.5 cups all-purpose flour (plus more for dusting)
2075,"4 large eggs, beaten"
2076,1/4 cup buttermilk
2077,"3 lemons, juiced and zested, divided"
2078,2 tsp butter
2079,3 cups old fashioned oats
2080,1 1/2 cups plain yogurt
2081,1 large lemon
2082,12 oz. frozen raspberries
2083,8 oz. pasta*
2084,1/4 tsp freshly cracked black pepper (or to taste)
2085,1 pinch crushed red pepper (or to taste)
2086,1/2 tsp nutmeg
2087,1 med lemon
2088,"1 Tbsp vegetable shortening, oil, or butter"
2089,1 13oz. can quartered artichoke hearts*
2090,1 cup chopped fresh parsley
2091,1.5 cups pearl couscous
2092,1 English cucumber
2093,1/2 cup parsley
2094,"3 oz. feta cheese, crumbled"
2095,1/2 bunch Dinosaur/Lacinato Kale*
2096,1 1/2 cups vegetable broth
2097,1 oz crumbled feta
2098,1/2 Tbsp red wine vinegar
2099,2 15oz. cans Cannellini beans
2100,"1/4 red onion, thinly sliced"
