rowid,ingredient
2101,1 stalk celery
2102,1/2 cup finely chopped walnuts
2103,1 cup uncooked red lentils
2104,1 15oz. can crushed tomatoes
2105,3 Tbsp tomato paste
2106,1 tsp dried basil
2107,1 tsp garlic powder
2108,1/2 cup full-fat coconut milk
2109,1/2 lb. Italian sausage
2110,4 ribs celery
2111,2 cups brown lentils
2112,6 cups chicken broth*
2113,10 oz. frozen spinach
2114,2 cups dry brown lentils
2115,1 recipe taco seasoning (with corn starch)
2116,16 small corn tortillas
2117,1 recipe pico de gallo
2118,2 small avocados
2119,3/4 tsp rubbed (dried) sage
2120,salt to taste (about 1/2 tsp)
2121,6 oz. cream cheese
2122,4 cups baby spinach
2123,"4 whole champagne mangoes, fresh"
2124,"1 whole lime, juiced (optional)"
2125,1/8 tsp powdered ginger  (optional)
2126,1/2 lb frozen peeled & deveined shrimp (51/70 size)
2127,2 packs (3 oz. each) ramen noodles
2128,2 Tbsp sriracha
2129,1/2 cucumber
2130,8 kalamata olives
2131,1 Tbsp chopped parsley
2132,4 pitas
2133,1 cup hummus
2134,2 tsp olive oil
2135,2 tsp jerk seasoning (or seasoning salt of choice)
2136,"1 15oz. can black beans, drained"
2137,"1 jalapeño (optional), sliced thin"
2138,8 oz cream cheese or Neufchatel
2139,8 oz imitation lobster or crab
2140,1/2 bunch green onions
2141,1 pkg 42 wonton wrappers
2142,1/2 tsp sriracha hot sauce
2143,non-stick spray as needed
2144,2 hard-boiled eggs
2145,1/2 red bell pepper
2146,2 ribs celery
2147,1 Tbsp sweet pickle relish
2148,4 cups whole milk
2149,"1/2 tsp cinnamon, plus more for serving"
2150,"6 cups kale, finely chopped"
