rowid,ingredient
1751,"4 green onions, roots removed"
1752,"1 lemon, juiced and zested"
1753,1 cup sour cream
1754,"1/8 tsp salt, or more to taste"
1755,"1 pinch fresh ground black pepper, or more to taste"
1756,Pinch Salt and Pepper
1757,2 Tbsp mayonnaise*
1758,1 lb penne pasta
1759,1/4 bunch Italian parsley (flat leaf)
1760,3 Tbsp quick cooking grits
1761,1/2 cup collard greens
1762,1/2 Tbsp toasted sesame oil
1763,1 pinch red pepper flakes (optional)
1764,2 bell peppers
1765,"2 oz. spinach (two large handfuls, or 1/4 of an 8oz. bag)"
1766,2 Tbsp cooking oil of choice
1767,1/4 cup chopped peanuts
1768,2.5 cups cooked brown rice
1769,1 med yellow onion
1770,3 stalks celery
1771,4 med carrots
1772,2 med smoked ham hocks
1773,1 lb. dry 16 bean mix
1774,1 1/2 Tbsp chicken base or bouillon
1775,2.5 cups all-purpose flour (plus a little for dusting)
1776,1 pint heavy cream*
1777,6 slices cheese
1778,12 slices deli ham
1779,1/4 cup harissa (paste)
1780,6 small red potatoes (1-1.5 lbs.)
1781,1 broccoli crown
1782,Handful chopped fresh cilantro
1783,1/2 lb. fresh Hatch chiles (about 3 peppers)
1784,1 sweet potato (3/4 to 1 lb.)
1785,1.5 cups yellow cornmeal
1786,3/4 cup milk
1787,"3 Tbsp cooking oil, divided*"
1788,8 oz. cream cheese
1789,3 sliced green onions
1790,"1/8 tsp red pepper flakes, optional"
1791,15 oz. can pineapple chunks in juice
1792,1/2 lb. smoked ham
1793,8 8-inch four tortillas
1794,½ lb. carrots (about 4)
1795,1 28oz. can tomato sauce
1796,2 large cubes beef bouillon
1797,6 oz. dry pasta
1798,½ batch turkey meatballs
1799,5 oz. parmesan
1800,3 1/2 cups water
