rowid,ingredient
601,2 tsp sugar
602,"1 large egg, separated"
603,1.25 cups all-purpose flour
604,1 cup heavy whipping cream
605,1 cup blueberries
606,2 Tbsp sugar
607,1 tsp vanilla extract
608,3/4 cup lemon curd
609,"4 Tbsp butter, divided"
610,"1 medium onion, diced"
611,"1/2 tsp salt, divided"
612,"2 stalks celery, diced"
613,"1 large carrot, diced"
614,"1 lb ground beef, 80/20"
615,1 cup milk
616,1 cup wine (red or white)
617,1 28oz can crushed tomatoes
618,12 oz. pasta
619,1 lb. frozen broccoli florets
620,3 Tbsp grated Parmesan
621,Freshly cracked pepper to taste
622,1 pinch crushed red pepper (optional)
623,2 lbs red cabbage (about 6-8 cups shredded)
624,1 granny smith apple
625,1/4 cup water (or more as needed)
626,1 Roma tomato
627,1 jalapeño
628,"1 15oz. can black beans, rinsed and drained"
629,"4 oz. cheddar cheese, shredded"
630,6 large eggs
631,1 15oz. bag tortilla chips
632,1 large pizza dough*
633,"12 oz. frozen broccoli florets, thawed"
634,"6 oz. cheddar cheese, shredded"
635,16 oz. dry fettuccine
636,16 oz. frozen broccoli florets
637,4 Tbsp all-purpose flour
638,3 cups milk
639,1 cup grated parmesan
640,1/8 tsp nutmeg
641,1 Tbsp tomato paste
642,2 Tbsp red wine vinegar
643,1/4 tsp sugar
644,6 Tbsp olive oil
645,1/2 lb. rotini pasta
646,1 lb. broccoli
647,1/2 cup diced red onion
648,1/4 cup unsalted sunflower seeds
649,4 oz. feta
650,1/2 cup plain Greek yogurt (2%)
