rowid,ingredient
1551,"1 cup cheese, shredded"
1552,"2 15oz. cans black beans, drained"
1553,2 chipotle peppers in adobo sauce (1 Tbsp sauce)
1554,"1 small sweet onion, divided"
1555,2 cups chicken or vegetable broth*
1556,12 corn tortillas
1557,4 oz. cheese**
1558,1 tsp active dry yeast
1559,"1 Tbsp sugar, divided"
1560,1/2 cup warm water
1561,"3 cups all-purpose flour, divided"
1562,1/4 cup cornmeal
1563,2 Tbsp distilled white vinegar
1564,"1/8 tsp salt, plus more to taste"
1565,1 pinch black pepper
1566,2 Tbsp finely chopped cilantro (plus a few whole leaves for garnish)
1567,2 medium tomatoes
1568,1/2 medium yellow onion
1569,2 medium avocados
1570,"3/8 tsp salt, divided"
1571,"1 cup long grain rice, rinsed until water runs clear"
1572,"5 Tbsp salted butter, divided"
1573,"1 yellow onion, small dice"
1574,8 oz fresh spinach*
1575,1 tsp Everything Bagel seasoning plus more for garnish
1576,1 handfull fresh parsley (about 1/4 bunch)
1577,1 handfull fresh cilantro (about 1/4 bunch)
1578,1/2 cup flour*
1579,1/4 cup neutral cooking oil for frying
1580,1/3 cup tahini sesame seed paste
1581,"2 cloves garlic, peeled"
1582,1 bunch flat leaf parsley
1583,1 19oz. can chickpeas
1584,1/2 cup uncooked bulgur
1585,2 tomatoes (about ¾ lb.)
1586,1.75 lbs 8-10 Roma tomatoes
1587,1 medium poblano pepper
1588,1 medium jalapeño pepper
1589,6 cloves garlic
1590,3/4 cup whole wheat flour
1591,5 Tbsp lard
1592,3/4 cup warm water
1593,1 1/2 tsp baking powder
1594,2 tsp vegetable oil
1595,1 French loaf
1596,4 oz. shredded mozzarella (about 1 cup shredded)
1597,toppings of your choice
1598,12 oz. pasta (any shape)
1599,2 pints grape tomatoes
1600,1/2 cup whole milk ricotta
