rowid,ingredient
3101,1 1/2 cup frozen corn kernels
3102,1 1/2 cups shredded cheese
3103,4 cups cooked spaghetti squash
3104,4 oz. Monterey jack cheese
3105,1 lb. flank or skirt steak
3106,1 1/2 cups uncooked brown rice
3107,14 oz. firm tofu
3108,1 tsp turmeric (optional for color)
3109,1 10oz. can diced tomatoes with green chiles
3110,1/4 red bell pepper
3111,2 Tbsp diced green chiles
3112,2 Tbsp salsa
3113,1 1/3 lbs pork tenderloin
3114,1 cup vegetable broth*
3115,1 Tbsp light oil*
3116,2 cups brown rice
3117,3.25 cups water
3118,1/4 cup natural style creamy peanut butter
3119,1 tsp oil for pan frying
3120,1/2 lb. snap peas***
3121,12 oz. spaghetti
3122,Handful fresh parsley (optional)
3123,1 24oz. jar pasta sauce*
3124,1.5 cups vegetable broth*
3125,6 tostadas
3126,8 oz. guacamole
3127,3 radishes
3128,4 carrots (about 2 cups chopped)
3129,1/2 tsp allspice
3130,1/4 cup chopped dried apricots or raisins*
3131,1 ball pizza dough
3132,3/4 cup pizza sauce
3133,1.5 cups shredded monterey jack
3134,"8 oz pineapple pieces, canned"
3135,3 oz sliced ham
3136,1/4 tsp instant or bread machine yeast
3137,about 3/4 cup water
3138,1/2 Tbsp cornmeal
3139,3 slices salami (I used Genoa)
3140,3 slices smoked provolone
3141,1/2 tsp crushed red pepper
3142,8 oz. orecchiette
3143,12 oz. chicken sausage
3144,freshly cracked pepper to taste
3145,1 lb. carrots
3146,2 cups white vinegar
3147,1 cucumber (3 cups chopped)
3148,1/2 lb. frozen pineapple chunks (2 cups)
3149,1.5 tsp gochujang
3150,1 lb. frozen cauliflower florets
