rowid,ingredient
2851,"1 large egg, beaten"
2852,"1 lb kale, chopped"
2853,1 spaghetti squash (1.5 lbs.)
2854,1/2 lb. Italian ground sausage (sweet or spicy)
2855,1/2 cup shredded mozzarella
2856,1/4 cup Parmesan cheese
2857,1/2 lb. carrots (about 3-4)
2858,1 15oz. can stewed tomatoes*
2859,8 oz. cheese tortellini
2860,1/2 head green cabbage (5 cups chopped)
2861,1 Tbsp steak seasoning
2862,2 cups cooked rice*
2863,Freshly cracked black pepper (15-20 cranks of a pepper mill)
2864,2 cups frozen corn kernels
2865,1 handful fresh parsley (optional)
2866,2 extra large eggs
2867,3/4 to 1 cup all-purpose flour
2868,4-5 cups shredded green cabbage
2869,2 Tbsp oil for frying
2870,4 mushrooms
2871,1/2 cup old-fashioned rolled oats
2872,1/2 cup spinach
2873,1/2 cup Greek yogurt
2874,1/4 cup sliced scallions (about two)
2875,2 Tbsp finely chopped fresh parsley
2876,2 Tbsp finely chopped fresh cilantro
2877,"1 green onion, thinly sliced"
2878,1/2 Tbsp turmeric
2879,2 cups uncooked long grain white rice
2880,1/2 lb frozen seafood mix
2881,"Handful fresh parsley, chopped"
2882,1/2 cup neutral oil*
2883,1 Tbsp tahini
2884,1 bunch lacinato (dino) kale
2885,pinch red pepper flakes (optional)
2886,2 Tbsp neutral salad oil*
2887,3 Tbsp soy sauce
2888,6 cups shredded red cabbage
2889,1 cup frozen shelled edamame
2890,1 Tbsp sesame oil
2891,4 cups cooked jasmine rice*
2892,2 tsp toasted sesame oil
2893,1 tsp sesame seeds
2894,2 5oz. cans chunk light tuna in water
2895,"6 Tbsp BBQ sauce, divided"
2896,1 20oz. can pineapple slices (in juice)
2897,1 cup long grain white rice (uncooked)
2898,12 oz. frozen broccoli florets
2899,1/2 tsp seasoning salt*
2900,2 Tbsp bread crumbs
