rowid,ingredient
1951,8 oz. frozen chopped spinach
1952,"1 yellow onion, sliced"
1953,"4 cloves garlic, sliced"
1954,1/2 Tbsp dried basil
1955,2 oz. shaved Parmesan
1956,12 oz fresh cranberries
1957,12 oz frozen raspberries
1958,2 Tbsp lemon juice (optional)
1959,2 cups pineapple tidbits*
1960,"1 15oz. can black beans, well rinsed"
1961,1/3 cup finely diced red onion
1962,1/2 cup coarsely chopped cilantro
1963,"2 boneless, skinless chicken breasts (about 2/3 lb. each)"
1964,1 Tbsp jerk seasoning
1965,2 tsp jerk seasoning
1966,1/2 cup orange juice
1967,1 lb. chopped collard greens
1968,"2 lbs. bone-in, skin-on chicken thighs*"
1969,1/3 cup soy sauce
1970,2 Tbsp hot water
1971,1 tsp minced ginger
1972,sesame seeds for garnish (optional)
1973,1/4 cup fresh cilantro for garnish (optional)
1974,1 lb. ground beef (90/10)
1975,1 1/2 tsp dried oregano
1976,1 Tbsp worcestershire sauce
1977,1/2 lb. frozen chopped spinach
1978,2 oz. feta cheese (optional)
1979,2 Tbsp grated parmesan
1980,1 cup long grain brown rice
1981,1/2 Tbsp Italian seasoning
1982,1/2 lb. chopped fresh kale (6 cups)
1983,1 rotisserie chicken breast (about 1-1.5 cups)
1984,1/2 cup half and half or cream (optional)
1985,1 lb pasta
1986,"4 cups kale, chopped, loosely packed"
1987,"1/3 cup olive oil, or as needed"
1988,"1 large lemon (1/4 c juice, 1 Tbsp zest)"
1989,"1/3 cup Parmesan, grated"
1990,"1/2 tsp salt, or as needed"
1991,4 oz. mozzarella (optional)
1992,"8 cups shredded kale, loosely packed (about one bunch)"
1993,1 whole wheat pita
1994,1/3 cup golden raisins
1995,1/3 cup shredded or grated Parmesan
1996,1/3 cup champagne vinaigrette
1997,8 oz bowtie pasta
1998,6 oz chopped kale*
1999,14 oz can wild caught salmon
2000,2 large hard boiled eggs (optional)
